,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27,Arena,Attend.,Attend./G
0,1.0,Boston Celtics,28.4,48.0,14.0,49,13,10.94,0.12,11.06,122.4,111.3,11.1,97.9,0.237,0.469,0.608,,0.575,11.1,24.6,0.192,,0.518,10.4,76.7,0.154,,TD Garden,612992,19156
1,2.0,Oklahoma City Thunder,23.2,44.0,19.0,45,18,7.59,-0.21,7.38,120.2,112.7,7.5,99.8,0.243,0.379,0.611,,0.575,11.2,21.0,0.203,,0.528,13.6,72.7,0.206,,Paycom Center,536997,17322
2,3.0,Minnesota Timberwolves,27.2,44.0,20.0,45,19,6.56,-0.12,6.44,115.3,108.6,6.7,97.4,0.278,0.377,0.594,,0.558,13.3,23.3,0.218,,0.511,12.5,77.2,0.196,,Target Center,540720,17443
3,4.0,New Orleans Pelicans,25.9,38.0,25.0,41,22,5.17,-0.17,5.0,117.9,112.7,5.2,98.5,0.267,0.369,0.591,,0.558,11.9,25.6,0.205,,0.535,12.7,76.4,0.193,,Smoothie King Center,514650,17155
4,5.0,Los Angeles Clippers,30.6,40.0,21.0,39,22,4.66,0.05,4.7,119.8,115.0,4.8,97.7,0.263,0.382,0.603,,0.566,11.8,24.4,0.214,,0.539,11.9,74.8,0.188,,Crypto.com Arena,544342,18770
5,6.0,Cleveland Cavaliers,26.2,41.0,22.0,40,23,4.59,-0.42,4.17,115.8,111.1,4.7,97.6,0.237,0.422,0.585,,0.556,12.1,24.0,0.181,,0.523,12.2,77.1,0.195,,Rocket Mortgage Fieldhouse,637711,19432
6,7.0,Denver Nuggets,27.0,43.0,20.0,39,24,4.06,0.23,4.3,118.0,113.8,4.2,96.8,0.227,0.351,0.585,,0.556,11.4,25.9,0.173,,0.53,11.1,75.7,0.198,,Ball Arena,609914,19675
7,8.0,New York Knicks,26.3,37.0,26.0,39,24,3.73,-0.11,3.62,117.9,114.0,3.9,95.9,0.252,0.403,0.572,,0.537,11.8,29.6,0.197,,0.547,12.1,76.5,0.175,,Madison Square Garden (IV),650389,19709
8,9.0,Milwaukee Bucks,30.0,41.0,23.0,39,25,3.77,-0.77,2.99,119.4,115.7,3.7,100.8,0.282,0.429,0.605,,0.571,11.3,21.5,0.218,,0.538,10.6,77.1,0.19,,Fiserv Forum,564367,17662
9,10.0,Philadelphia 76ers,28.3,35.0,28.0,37,26,2.9,-0.52,2.38,118.1,115.2,2.9,98.3,0.28,0.359,0.577,,0.532,10.5,25.1,0.233,,0.542,12.8,74.1,0.224,,Wells Fargo Center,680029,20001
10,11.0,Phoenix Suns,29.1,37.0,26.0,37,26,2.86,-0.9,1.96,117.7,114.9,2.8,98.8,0.293,0.37,0.603,,0.562,13.3,25.1,0.236,,0.535,11.3,74.9,0.182,,Footprint Center,580414,17071
11,12.0,Golden State Warriors,28.4,33.0,29.0,34,28,1.84,0.59,2.43,117.8,116.0,1.8,99.8,0.23,0.434,0.585,,0.554,12.5,27.7,0.18,,0.541,11.4,76.2,0.206,,Chase Center,596112,18064
12,13.0,Orlando Magic,23.9,37.0,27.0,35,29,1.5,-0.3,1.2,113.3,111.8,1.5,97.2,0.295,0.362,0.577,,0.541,13.4,26.0,0.222,,0.544,13.7,77.7,0.207,,Amway Center,548722,18883
