Date,Away,Awayscore,Home,Homescore
03-30-2023,Baltimore Orioles,10,Boston Red Sox,9
03-30-2023,Milwaukee Brewers,0,Chicago Cubs,4
03-30-2023,Pittsburgh Pirates,5,Cincinnati Reds,4
03-30-2023,Chicago White Sox,3,Houston Astros,2
03-30-2023,Minnesota Twins,2,Kansas City Royals,0
03-30-2023,Arizona D'Backs,2,Los Angeles Dodgers,8
03-30-2023,New York Mets,5,Miami Marlins,3
03-30-2023,San Francisco Giants,0,New York Yankees,5
03-30-2023,Los Angeles Angels,1,Oakland Athletics,2
03-30-2023,Colorado Rockies,7,San Diego Padres,2
03-30-2023,Cleveland Guardians,0,Seattle Mariners,3
03-30-2023,Toronto Blue Jays,10,St. Louis Cardinals,9
03-30-2023,Detroit Tigers,0,Tampa Bay Rays,4
03-30-2023,Philadelphia Phillies,7,Texas Rangers,11
03-30-2023,Atlanta Braves,7,Washington Nationals,2
03-31-2023,Chicago White Sox,3,Houston Astros,6
03-31-2023,Arizona D'Backs,2,Los Angeles Dodgers,1
03-31-2023,New York Mets,1,Miami Marlins,2
03-31-2023,Colorado Rockies,4,San Diego Padres,1
03-31-2023,Cleveland Guardians,9,Seattle Mariners,4
04-01-2023,Baltimore Orioles,8,Boston Red Sox,9
04-01-2023,Milwaukee Brewers,3,Chicago Cubs,1
04-01-2023,Pittsburgh Pirates,2,Cincinnati Reds,6
04-01-2023,Chicago White Sox,4,Houston Astros,6
04-01-2023,Minnesota Twins,2,Kansas City Royals,0
04-01-2023,Arizona D'Backs,1,Los Angeles Dodgers,10
04-01-2023,New York Mets,6,Miami Marlins,2
04-01-2023,San Francisco Giants,7,New York Yankees,5
04-01-2023,Los Angeles Angels,13,Oakland Athletics,1
04-01-2023,Colorado Rockies,4,San Diego Padres,8
04-01-2023,Cleveland Guardians,2,Seattle Mariners,0
04-01-2023,Toronto Blue Jays,1,St. Louis Cardinals,4
04-01-2023,Detroit Tigers,2,Tampa Bay Rays,12
04-01-2023,Philadelphia Phillies,3,Texas Rangers,16
04-01-2023,Atlanta Braves,7,Washington Nationals,1
04-02-2023,Baltimore Orioles,5,Boston Red Sox,9
04-02-2023,Milwaukee Brewers,9,Chicago Cubs,5
04-02-2023,Pittsburgh Pirates,1,Cincinnati Reds,3
04-02-2023,Chicago White Sox,6,Houston Astros,3
04-02-2023,Minnesota Twins,7,Kansas City Royals,4
04-02-2023,Arizona D'Backs,2,Los Angeles Dodgers,1
04-02-2023,New York Mets,5,Miami Marlins,1
04-02-2023,San Francisco Giants,0,New York Yankees,6
04-02-2023,Los Angeles Angels,6,Oakland Athletics,0
04-02-2023,Colorado Rockies,1,San Diego Padres,3
04-02-2023,Cleveland Guardians,6,Seattle Mariners,5
04-02-2023,Toronto Blue Jays,4,St. Louis Cardinals,9
04-02-2023,Detroit Tigers,1,Tampa Bay Rays,5
04-02-2023,Philadelphia Phillies,1,Texas Rangers,2
04-02-2023,Atlanta Braves,1,Washington Nationals,4
04-03-2023,Pittsburgh Pirates,7,Boston Red Sox,6
04-03-2023,San Francisco Giants,12,Chicago White Sox,3
04-03-2023,Chicago Cubs,6,Cincinnati Reds,7
04-03-2023,Detroit Tigers,7,Houston Astros,6
04-03-2023,Toronto Blue Jays,5,Kansas City Royals,9
04-03-2023,Colorado Rockies,4,Los Angeles Dodgers,13
04-03-2023,Minnesota Twins,11,Miami Marlins,1
04-03-2023,New York Mets,0,Milwaukee Brewers,10
04-03-2023,Philadelphia Phillies,1,New York Yankees,8
04-03-2023,Cleveland Guardians,12,Oakland Athletics,11
04-03-2023,Arizona D'Backs,4,San Diego Padres,5
04-03-2023,Los Angeles Angels,7,Seattle Mariners,3
04-03-2023,Atlanta Braves,8,St. Louis Cardinals,4
04-03-2023,Baltimore Orioles,2,Texas Rangers,0
04-03-2023,Tampa Bay Rays,6,Washington Nationals,2
04-04-2023,Pittsburgh Pirates,4,Boston Red Sox,1
04-04-2023,Chicago Cubs,12,Cincinnati Reds,5
04-04-2023,Detroit Tigers,6,Houston Astros,3
04-04-2023,Toronto Blue Jays,4,Kansas City Royals,1
04-04-2023,Colorado Rockies,2,Los Angeles Dodgers,5
04-04-2023,Minnesota Twins,0,Miami Marlins,1
04-04-2023,New York Mets,0,Milwaukee Brewers,9
04-04-2023,Philadelphia Phillies,4,New York Yankees,1
04-04-2023,Cleveland Guardians,3,Oakland Athletics,4
04-04-2023,Arizona D'Backs,8,San Diego Padres,6
04-04-2023,Los Angeles Angels,2,Seattle Mariners,11
04-04-2023,Atlanta Braves,4,St. Louis Cardinals,1
04-04-2023,Baltimore Orioles,7,Texas Rangers,2
04-04-2023,Tampa Bay Rays,10,Washington Nationals,6
04-05-2023,Pittsburgh Pirates,4,Boston Red Sox,1
04-05-2023,San Francisco Giants,3,Chicago White Sox,7
04-05-2023,Detroit Tigers,2,Houston Astros,8
04-05-2023,Toronto Blue Jays,3,Kansas City Royals,0
04-05-2023,Minnesota Twins,2,Miami Marlins,5
04-05-2023,New York Mets,6,Milwaukee Brewers,7
04-05-2023,Philadelphia Phillies,2,New York Yankees,4
04-05-2023,Cleveland Guardians,6,Oakland Athletics,4
04-05-2023,Los Angeles Angels,4,Seattle Mariners,3
04-05-2023,Atlanta Braves,5,St. Louis Cardinals,2
04-05-2023,Baltimore Orioles,2,Texas Rangers,5
04-05-2023,Tampa Bay Rays,7,Washington Nationals,2
04-06-2023,Los Angeles Dodgers,5,Arizona D'Backs,2
04-06-2023,San Diego Padres,6,Atlanta Braves,7
04-06-2023,San Francisco Giants,16,Chicago White Sox,6
04-06-2023,Washington Nationals,0,Colorado Rockies,1
04-06-2023,Boston Red Sox,6,Detroit Tigers,3
04-06-2023,Toronto Blue Jays,6,Kansas City Royals,3
04-07-2023,Toronto Blue Jays,4,Los Angeles Angels,3
04-07-2023,Los Angeles Dodgers,3,Arizona D'Backs,6
04-07-2023,San Diego Padres,5,Atlanta Braves,4
04-07-2023,New York Yankees,6,Baltimore Orioles,7
04-07-2023,Texas Rangers,0,Chicago Cubs,2
04-07-2023,Seattle Mariners,5,Cleveland Guardians,3
04-07-2023,Washington Nationals,10,Colorado Rockies,5
04-07-2023,St. Louis Cardinals,0,Milwaukee Brewers,4
04-07-2023,Houston Astros,2,Minnesota Twins,3
04-07-2023,Miami Marlins,3,New York Mets,9
04-07-2023,Cincinnati Reds,2,Philadelphia Phillies,5
04-07-2023,Chicago White Sox,9,Pittsburgh Pirates,13
04-07-2023,Kansas City Royals,3,San Francisco Giants,1
04-07-2023,Oakland Athletics,5,Tampa Bay Rays,9
04-08-2023,Toronto Blue Jays,5,Los Angeles Angels,9
04-08-2023,Los Angeles Dodgers,8,Arizona D'Backs,12
04-08-2023,San Diego Padres,4,Atlanta Braves,1
04-08-2023,New York Yankees,4,Baltimore Orioles,1
04-08-2023,Texas Rangers,3,Chicago Cubs,10
04-08-2023,Seattle Mariners,3,Cleveland Guardians,2
04-08-2023,Washington Nationals,7,Colorado Rockies,6
04-08-2023,Boston Red Sox,14,Detroit Tigers,5
04-08-2023,St. Louis Cardinals,6,Milwaukee Brewers,0
04-08-2023,Houston Astros,6,Minnesota Twins,9
04-08-2023,Miami Marlins,2,New York Mets,5
04-08-2023,Cincinnati Reds,2,Philadelphia Phillies,3
04-08-2023,Chicago White Sox,11,Pittsburgh Pirates,5
04-08-2023,Kansas City Royals,6,San Francisco Giants,5
04-08-2023,Oakland Athletics,0,Tampa Bay Rays,11
04-09-2023,Toronto Blue Jays,12,Los Angeles Angels,11
04-09-2023,Los Angeles Dodgers,6,Arizona D'Backs,11
04-09-2023,San Diego Padres,10,Atlanta Braves,2
04-09-2023,New York Yankees,5,Baltimore Orioles,3
04-09-2023,Texas Rangers,8,Chicago Cubs,2
04-09-2023,Seattle Mariners,6,Cleveland Guardians,7
04-09-2023,Washington Nationals,6,Colorado Rockies,7
04-09-2023,Boston Red Sox,4,Detroit Tigers,1
04-09-2023,St. Louis Cardinals,1,Milwaukee Brewers,6
04-09-2023,Houston Astros,5,Minnesota Twins,1
04-09-2023,Miami Marlins,7,New York Mets,2
04-09-2023,Cincinnati Reds,6,Philadelphia Phillies,4
04-09-2023,Chicago White Sox,0,Pittsburgh Pirates,1
04-09-2023,Kansas City Royals,1,San Francisco Giants,3
04-09-2023,Oakland Athletics,0,Tampa Bay Rays,11
04-10-2023,Washington Nationals,6,Los Angeles Angels,4
04-10-2023,Milwaukee Brewers,0,Arizona D'Backs,3
04-10-2023,Cincinnati Reds,4,Atlanta Braves,5
04-10-2023,Oakland Athletics,1,Baltimore Orioles,5
04-10-2023,Seattle Mariners,2,Chicago Cubs,3
04-10-2023,New York Yankees,2,Cleveland Guardians,3
04-10-2023,St. Louis Cardinals,4,Colorado Rockies,7
04-10-2023,Chicago White Sox,4,Minnesota Twins,3
04-10-2023,San Diego Padres,0,New York Mets,5
04-10-2023,Miami Marlins,3,Philadelphia Phillies,15
04-10-2023,Houston Astros,8,Pittsburgh Pirates,2
04-10-2023,Los Angeles Dodgers,9,San Francisco Giants,1
04-10-2023,Boston Red Sox,0,Tampa Bay Rays,1
04-10-2023,Kansas City Royals,2,Texas Rangers,11
04-11-2023,Washington Nationals,0,Los Angeles Angels,2
04-11-2023,Milwaukee Brewers,7,Arizona D'Backs,1
04-11-2023,Cincinnati Reds,6,Atlanta Braves,7
04-11-2023,Oakland Athletics,8,Baltimore Orioles,12
04-11-2023,Seattle Mariners,9,Chicago Cubs,14
04-11-2023,New York Yankees,11,Cleveland Guardians,2
04-11-2023,St. Louis Cardinals,9,Colorado Rockies,6
04-11-2023,Chicago White Sox,3,Minnesota Twins,4
04-11-2023,San Diego Padres,4,New York Mets,2
04-11-2023,Miami Marlins,8,Philadelphia Phillies,4
04-11-2023,Houston Astros,4,Pittsburgh Pirates,7
04-11-2023,Los Angeles Dodgers,0,San Francisco Giants,5
04-11-2023,Boston Red Sox,2,Tampa Bay Rays,7
04-11-2023,Kansas City Royals,5,Texas Rangers,8
04-11-2023,Detroit Tigers,3,Toronto Blue Jays,9
04-12-2023,Washington Nationals,2,Los Angeles Angels,3
04-12-2023,Milwaukee Brewers,3,Arizona D'Backs,7
04-12-2023,Cincinnati Reds,4,Atlanta Braves,5
